id,to,type,weight
Thesaurus.C103159,obo.OBI_0000011,SubClassOf,1.0
Thesaurus.C15709,obo.OGMS_0000056,SubClassOf,1.0
Thesaurus.C19482,obo.IAO_0000310,SubClassOf,1.0
Thesaurus.C25191,obo.IAO_0000300,SubClassOf,1.0
Thesaurus.C25678,obo.IAO_0000300,SubClassOf,1.0
Thesaurus.C38101,obo.OGMS_0000056,SubClassOf,1.0
Thesaurus.C45258,obo.IAO_0000310,SubClassOf,1.0
Thesaurus.C60776,obo.IAO_0000030,SubClassOf,1.0
Thesaurus.C70947,Thesaurus.C25678,SubClassOf,1.0
Thesaurus.C70958,Thesaurus.C25678,SubClassOf,1.0
Thesaurus.C81262,obo.IAO_0000028,SubClassOf,1.0
Thesaurus.C90492,obo.IAO_0000030,SubClassOf,1.0
Thesaurus.C94204,obo.OBI_0000245,SubClassOf,1.0
obo.BFO_0000002,obo.BFO_0000001,SubClassOf,1.0
obo.BFO_0000003,obo.BFO_0000001,SubClassOf,1.0
obo.BFO_0000004,obo.BFO_0000002,SubClassOf,1.0
obo.BFO_0000006,obo.BFO_0000141,SubClassOf,1.0
obo.BFO_0000008,obo.BFO_0000003,SubClassOf,1.0
obo.BFO_0000009,obo.BFO_0000006,SubClassOf,1.0
obo.BFO_0000011,obo.BFO_0000003,SubClassOf,1.0
obo.BFO_0000015,obo.BFO_0000003,SubClassOf,1.0
obo.BFO_0000016,obo.BFO_0000017,SubClassOf,1.0
obo.BFO_0000017,obo.BFO_0000020,SubClassOf,1.0
obo.BFO_0000018,obo.BFO_0000006,SubClassOf,1.0
obo.BFO_0000019,obo.BFO_0000020,SubClassOf,1.0
obo.BFO_0000020,obo.BFO_0000002,SubClassOf,1.0
obo.BFO_0000023,obo.BFO_0000017,SubClassOf,1.0
obo.BFO_0000024,obo.BFO_0000040,SubClassOf,1.0
obo.BFO_0000026,obo.BFO_0000006,SubClassOf,1.0
obo.BFO_0000027,obo.BFO_0000040,SubClassOf,1.0
obo.BFO_0000028,obo.BFO_0000006,SubClassOf,1.0
obo.BFO_0000029,obo.BFO_0000141,SubClassOf,1.0
obo.BFO_0000030,obo.BFO_0000040,SubClassOf,1.0
obo.BFO_0000031,obo.BFO_0000002,SubClassOf,1.0
obo.BFO_0000034,obo.BFO_0000016,SubClassOf,1.0
obo.BFO_0000035,obo.BFO_0000003,SubClassOf,1.0
obo.BFO_0000038,obo.BFO_0000008,SubClassOf,1.0
obo.BFO_0000040,obo.BFO_0000004,SubClassOf,1.0
obo.BFO_0000140,obo.BFO_0000141,SubClassOf,1.0
obo.BFO_0000141,obo.BFO_0000004,SubClassOf,1.0
obo.BFO_0000142,obo.BFO_0000140,SubClassOf,1.0
obo.BFO_0000144,obo.BFO_0000015,SubClassOf,1.0
obo.BFO_0000145,obo.BFO_0000019,SubClassOf,1.0
obo.BFO_0000146,obo.BFO_0000140,SubClassOf,1.0
obo.BFO_0000147,obo.BFO_0000140,SubClassOf,1.0
obo.BFO_0000148,obo.BFO_0000008,SubClassOf,1.0
obo.BFO_0000182,obo.BFO_0000015,SubClassOf,1.0
obo.CHEBI_16991,obo.CHEBI_33696,SubClassOf,1.0
obo.CHEBI_23367,obo.BFO_0000040,SubClassOf,1.0
obo.CHEBI_33696,obo.CHEBI_33839,SubClassOf,1.0
obo.CHEBI_33697,obo.CHEBI_33696,SubClassOf,1.0
obo.CHEBI_33839,obo.CHEBI_23367,SubClassOf,1.0
obo.CL_0000000,obo.BFO_0000040,SubClassOf,1.0
obo.CL_0000010,obo.CL_0000578,SubClassOf,1.0
obo.CL_0000578,obo.CL_0000000,SubClassOf,1.0
obo.IAO_0000003,obo.IAO_0000009,SubClassOf,1.0
obo.IAO_0000005,obo.IAO_0000033,SubClassOf,1.0
obo.IAO_0000007,obo.IAO_0000033,SubClassOf,1.0
obo.IAO_0000009,obo.IAO_0000030,SubClassOf,1.0
obo.IAO_0000027,obo.IAO_0000030,SubClassOf,1.0
obo.IAO_0000028,obo.IAO_0000030,SubClassOf,1.0
obo.IAO_0000030,obo.BFO_0000031,SubClassOf,1.0
obo.IAO_0000032,obo.IAO_0000109,SubClassOf,1.0
obo.IAO_0000033,obo.IAO_0000030,SubClassOf,1.0
obo.IAO_0000078,obo.IAO_0000102,SubClassOf,1.0
obo.IAO_0000102,obo.IAO_0000027,SubClassOf,1.0
obo.IAO_0000104,obo.IAO_0000033,SubClassOf,1.0
obo.IAO_0000109,obo.IAO_0000027,SubClassOf,1.0
obo.IAO_0000300,obo.IAO_0000030,SubClassOf,1.0
obo.IAO_0000310,obo.IAO_0000030,SubClassOf,1.0
obo.IAO_0000314,obo.IAO_0000030,SubClassOf,1.0
obo.IAO_0000416,obo.IAO_0000032,SubClassOf,1.0
obo.IAO_0000572,obo.OBI_0000011,SubClassOf,1.0
obo.IAO_0020022,obo.IAO_0000030,SubClassOf,1.0
obo.IAO_0020023,obo.BFO_0000015,SubClassOf,1.0
obo.IAO_0020024,obo.BFO_0000023,SubClassOf,1.0
obo.IAO_0021002,obo.IAO_0021003,SubClassOf,1.0
obo.IAO_0021003,obo.OBI_0000011,SubClassOf,1.0
obo.IAO_0021004,obo.BFO_0000031,SubClassOf,1.0
obo.IAO_0021005,obo.IAO_0021003,SubClassOf,1.0
obo.IAO_0021006,obo.BFO_0000023,SubClassOf,1.0
obo.IAO_0021021,obo.BFO_0000023,SubClassOf,1.0
obo.IAO_0021022,obo.BFO_0000023,SubClassOf,1.0
obo.IAO_0021030,obo.BFO_0000040,SubClassOf,1.0
obo.IAO_0021031,obo.BFO_0000023,SubClassOf,1.0
obo.IAO_0021102,obo.IAO_0021002,SubClassOf,1.0
obo.IAO_0021300,obo.BFO_0000023,SubClassOf,1.0
obo.ICO_0000001,obo.IAO_0000310,SubClassOf,1.0
obo.ICO_0000002,obo.OBI_0000011,SubClassOf,1.0
obo.ICO_0000003,obo.OBI_0000011,SubClassOf,1.0
obo.ICO_0000004,obo.OBI_0000011,SubClassOf,1.0
