id,to,type,weight
obo.BFO_0000004,obo.BFO_0000002,SubClassOf,1.0
obo.BFO_0000006,obo.BFO_0000141,SubClassOf,1.0
obo.BFO_0000008,obo.BFO_0000003,SubClassOf,1.0
obo.BFO_0000009,obo.BFO_0000006,SubClassOf,1.0
obo.BFO_0000011,obo.BFO_0000003,SubClassOf,1.0
obo.BFO_0000015,obo.BFO_0000003,SubClassOf,1.0
obo.BFO_0000016,obo.BFO_0000017,SubClassOf,1.0
obo.BFO_0000017,obo.BFO_0000020,SubClassOf,1.0
obo.BFO_0000018,obo.BFO_0000006,SubClassOf,1.0
obo.BFO_0000019,obo.BFO_0000020,SubClassOf,1.0
obo.BFO_0000020,obo.BFO_0000002,SubClassOf,1.0
obo.BFO_0000023,obo.BFO_0000017,SubClassOf,1.0
obo.BFO_0000024,obo.BFO_0000040,SubClassOf,1.0
obo.BFO_0000026,obo.BFO_0000006,SubClassOf,1.0
obo.BFO_0000027,obo.BFO_0000040,SubClassOf,1.0
obo.BFO_0000028,obo.BFO_0000006,SubClassOf,1.0
obo.BFO_0000029,obo.BFO_0000141,SubClassOf,1.0
obo.BFO_0000030,obo.BFO_0000040,SubClassOf,1.0
obo.BFO_0000031,obo.BFO_0000002,SubClassOf,1.0
obo.BFO_0000034,obo.BFO_0000016,SubClassOf,1.0
obo.BFO_0000035,obo.BFO_0000003,SubClassOf,1.0
obo.BFO_0000038,obo.BFO_0000008,SubClassOf,1.0
obo.BFO_0000040,obo.BFO_0000004,SubClassOf,1.0
obo.BFO_0000140,obo.BFO_0000141,SubClassOf,1.0
obo.BFO_0000141,obo.BFO_0000004,SubClassOf,1.0
obo.BFO_0000142,obo.BFO_0000140,SubClassOf,1.0
obo.BFO_0000144,obo.BFO_0000015,SubClassOf,1.0
obo.BFO_0000145,obo.BFO_0000019,SubClassOf,1.0
obo.BFO_0000146,obo.BFO_0000140,SubClassOf,1.0
obo.BFO_0000147,obo.BFO_0000140,SubClassOf,1.0
obo.BFO_0000148,obo.BFO_0000008,SubClassOf,1.0
obo.BFO_0000182,obo.BFO_0000015,SubClassOf,1.0
obo.GAZ_00000448,obo.BFO_0000029,SubClassOf,1.0
obo.IAO_0000001,obo.IAO_0000033,SubClassOf,1.0
obo.IAO_0000003,obo.IAO_0000009,SubClassOf,1.0
obo.IAO_0000005,obo.IAO_0000033,SubClassOf,1.0
obo.IAO_0000006,obo.IAO_0000030,SubClassOf,1.0
obo.IAO_0000007,obo.IAO_0000033,SubClassOf,1.0
obo.IAO_0000009,obo.IAO_0000030,SubClassOf,1.0
obo.IAO_0000010,obo.IAO_0000104,SubClassOf,1.0
obo.IAO_0000013,obo.IAO_0000088,SubClassOf,1.0
obo.IAO_0000015,obo.BFO_0000019,SubClassOf,1.0
obo.IAO_0000017,obo.IAO_0000028,SubClassOf,1.0
obo.IAO_0000025,obo.IAO_0000104,SubClassOf,1.0
obo.IAO_0000027,obo.IAO_0000030,SubClassOf,1.0
obo.IAO_0000028,obo.IAO_0000030,SubClassOf,1.0
obo.IAO_0000029,obo.IAO_0000028,SubClassOf,1.0
obo.IAO_0000030,obo.BFO_0000031,SubClassOf,1.0
obo.IAO_0000031,obo.IAO_0000029,SubClassOf,1.0
obo.IAO_0000032,obo.IAO_0000109,SubClassOf,1.0
obo.IAO_0000033,obo.IAO_0000030,SubClassOf,1.0
obo.IAO_0000034,obo.IAO_0000001,SubClassOf,1.0
obo.IAO_0000037,obo.IAO_0000038,SubClassOf,1.0
obo.IAO_0000038,obo.IAO_0000309,SubClassOf,1.0
obo.IAO_0000055,obo.IAO_0000001,SubClassOf,1.0
obo.IAO_0000057,obo.IAO_0000038,SubClassOf,1.0
obo.IAO_0000064,obo.IAO_0000104,SubClassOf,1.0
obo.IAO_0000065,obo.IAO_0000064,SubClassOf,1.0
obo.IAO_0000078,obo.IAO_0000102,SubClassOf,1.0
obo.IAO_0000079,obo.IAO_0000038,SubClassOf,1.0
obo.IAO_0000088,obo.IAO_0000310,SubClassOf,1.0
obo.IAO_0000096,obo.IAO_0000033,SubClassOf,1.0
obo.IAO_0000098,obo.IAO_0000033,SubClassOf,1.0
obo.IAO_0000100,obo.IAO_0000027,SubClassOf,1.0
obo.IAO_0000101,obo.IAO_0000308,SubClassOf,1.0
obo.IAO_0000102,obo.IAO_0000027,SubClassOf,1.0
obo.IAO_0000104,obo.IAO_0000033,SubClassOf,1.0
obo.IAO_0000109,obo.IAO_0000027,SubClassOf,1.0
obo.IAO_0000129,obo.IAO_0000028,SubClassOf,1.0
obo.IAO_0000131,obo.IAO_0000028,SubClassOf,1.0
obo.IAO_0000132,obo.IAO_0000028,SubClassOf,1.0
obo.IAO_0000140,obo.IAO_0000027,SubClassOf,1.0
obo.IAO_0000144,obo.IAO_0000300,SubClassOf,1.0
obo.IAO_0000178,obo.BFO_0000040,SubClassOf,1.0
obo.IAO_0000179,obo.IAO_0000038,SubClassOf,1.0
obo.IAO_0000180,obo.IAO_0000038,SubClassOf,1.0
obo.IAO_0000181,obo.IAO_0000038,SubClassOf,1.0
obo.IAO_0000183,obo.IAO_0000038,SubClassOf,1.0
obo.IAO_0000184,obo.IAO_0000038,SubClassOf,1.0
obo.IAO_0000185,obo.IAO_0000101,SubClassOf,1.0
obo.IAO_0000186,obo.IAO_0000178,SubClassOf,1.0
obo.IAO_0000225,obo.IAO_0000102,SubClassOf,1.0
obo.IAO_0000300,obo.IAO_0000030,SubClassOf,1.0
obo.IAO_0000301,obo.IAO_0000300,SubClassOf,1.0
obo.IAO_0000302,obo.IAO_0000590,SubClassOf,1.0
obo.IAO_0000303,obo.IAO_0000300,SubClassOf,1.0
