id,label,parent.purl,entity.weight,entity.type
Thesaurus.C103159,Data Collection,Thesaurus.owl,0.2,obo.BFO_0000003
Thesaurus.C15709,Genetic Testing,Thesaurus.owl,0.16666666666666666,obo.BFO_0000003
Thesaurus.C19482,Certificate of Confidentiality,Thesaurus.owl,0.16666666666666666,obo.BFO_0000002
Thesaurus.C25191,Person Name,Thesaurus.owl,0.16666666666666666,obo.BFO_0000002
Thesaurus.C25678,Signature,Thesaurus.owl,0.16666666666666666,obo.BFO_0000002
Thesaurus.C38101,Radiography,Thesaurus.owl,0.16666666666666666,obo.BFO_0000003
Thesaurus.C45258,medical record,Thesaurus.owl,0.16666666666666666,obo.BFO_0000002
Thesaurus.C60776,Contact Information,Thesaurus.owl,0.2,obo.BFO_0000002
Thesaurus.C70947,Investigator Signature,Thesaurus.owl,0.14285714285714285,obo.BFO_0000002
Thesaurus.C70958,Subject's Signature on Informed Consent Form,Thesaurus.owl,0.14285714285714285,obo.BFO_0000002
Thesaurus.C81262,Medical Record Number,Thesaurus.owl,0.16666666666666666,obo.BFO_0000002
Thesaurus.C90492,Personal Information,Thesaurus.owl,0.2,obo.BFO_0000002
Thesaurus.C94204,Data and Safety Monitoring Board,Thesaurus.owl,0.16666666666666666,obo.BFO_0000002
obo.BFO_0000001,entity,BFO,1.0,NULL
obo.BFO_0000002,continuant,BFO,0.5,obo.BFO_0000002
obo.BFO_0000003,occurrent,BFO,0.5,obo.BFO_0000003
obo.BFO_0000004,independent continuant,BFO,0.3333333333333333,obo.BFO_0000002
obo.BFO_0000006,spatial region,BFO,0.2,obo.BFO_0000002
obo.BFO_0000008,temporal region,BFO,0.3333333333333333,obo.BFO_0000003
obo.BFO_0000009,two-dimensional spatial region,BFO,0.16666666666666666,obo.BFO_0000002
obo.BFO_0000011,spatiotemporal region,BFO,0.3333333333333333,obo.BFO_0000003
obo.BFO_0000015,process,BFO,0.3333333333333333,obo.BFO_0000003
obo.BFO_0000016,disposition,BFO,0.2,obo.BFO_0000002
obo.BFO_0000017,realizable entity,BFO,0.25,obo.BFO_0000002
obo.BFO_0000018,zero-dimensional spatial region,BFO,0.16666666666666666,obo.BFO_0000002
obo.BFO_0000019,quality,BFO,0.25,obo.BFO_0000002
obo.BFO_0000020,specifically dependent continuant,BFO,0.3333333333333333,obo.BFO_0000002
obo.BFO_0000023,role,BFO,0.2,obo.BFO_0000002
obo.BFO_0000024,fiat object part,BFO,0.2,obo.BFO_0000002
obo.BFO_0000026,one-dimensional spatial region,BFO,0.16666666666666666,obo.BFO_0000002
obo.BFO_0000027,object aggregate,BFO,0.2,obo.BFO_0000002
obo.BFO_0000028,three-dimensional spatial region,BFO,0.16666666666666666,obo.BFO_0000002
obo.BFO_0000029,site,BFO,0.2,obo.BFO_0000002
obo.BFO_0000030,object,BFO,0.2,obo.BFO_0000002
obo.BFO_0000031,generically dependent continuant,BFO,0.3333333333333333,obo.BFO_0000002
obo.BFO_0000034,function,BFO,0.16666666666666666,obo.BFO_0000002
