id,label,parent.purl,entity.weight,entity.type
obo.BFO_0000002,continuant,BFO,0.5,obo.BFO_0000002
obo.BFO_0000003,occurrent,BFO,0.5,obo.BFO_0000003
obo.BFO_0000004,independent continuant,BFO,0.3333333333333333,obo.BFO_0000002
obo.BFO_0000006,spatial region,BFO,0.2,obo.BFO_0000002
obo.BFO_0000008,temporal region,BFO,0.3333333333333333,obo.BFO_0000003
obo.BFO_0000009,two-dimensional spatial region,BFO,0.16666666666666666,obo.BFO_0000002
obo.BFO_0000011,spatiotemporal region,BFO,0.3333333333333333,obo.BFO_0000003
obo.BFO_0000015,process,BFO,0.3333333333333333,obo.BFO_0000003
obo.BFO_0000016,disposition,BFO,0.2,obo.BFO_0000002
obo.BFO_0000017,realizable entity,BFO,0.25,obo.BFO_0000002
obo.BFO_0000018,zero-dimensional spatial region,BFO,0.16666666666666666,obo.BFO_0000002
obo.BFO_0000019,quality,BFO,0.25,obo.BFO_0000002
obo.BFO_0000020,specifically dependent continuant,BFO,0.3333333333333333,obo.BFO_0000002
obo.BFO_0000023,role,BFO,0.2,obo.BFO_0000002
obo.BFO_0000024,fiat object part,BFO,0.2,obo.BFO_0000002
obo.BFO_0000026,one-dimensional spatial region,BFO,0.16666666666666666,obo.BFO_0000002
obo.BFO_0000027,object aggregate,BFO,0.2,obo.BFO_0000002
obo.BFO_0000028,three-dimensional spatial region,BFO,0.16666666666666666,obo.BFO_0000002
obo.BFO_0000029,site,BFO,0.2,obo.BFO_0000002
obo.BFO_0000030,object,BFO,0.2,obo.BFO_0000002
obo.BFO_0000031,generically dependent continuant,BFO,0.3333333333333333,obo.BFO_0000002
obo.BFO_0000034,function,BFO,0.16666666666666666,obo.BFO_0000002
obo.BFO_0000035,process boundary,BFO,0.3333333333333333,obo.BFO_0000003
obo.BFO_0000038,one-dimensional temporal region,BFO,0.25,obo.BFO_0000003
obo.BFO_0000040,material entity,BFO,0.25,obo.BFO_0000002
obo.BFO_0000140,continuant fiat boundary,BFO,0.2,obo.BFO_0000002
